Sector_Rank,Ticker,Name,Exchange,Major_Sector,Detailed_Sector,Total_Score,Trend_Score,MeanReversion_Score,Volume_Score,Volatility_Score,Momentum_Score,Confidence,Trend_Strength,MeanReversion_Strength,Volume_Confirmation,Signal_Type,Current_Price,Timestamp,Analysis_Date
1,RAY,Raytech Holding Limited Ordinary Shares,XNAS,Consumer Discretionary,Consumer Defensive,0.71624266832486,0.2302426683248601,0.09999999999999998,0.25,0.0,0.136,1.0,0.8222952440173574,0.3999999999999999,1.0,SHORT,2.259999990463257,2025-12-26 05:00:00,2025-12-28
2,BOXL,Boxlight Corporation Class A Common Stock,XNAS,Consumer Discretionary,SERVICES-EDUCATIONAL SERVICES,0.666,0.28,0.0,0.25,0.0,0.136,1.0,1.0,0.0,1.0,LONG,2.190000057220459,2025-12-26 05:00:00,2025-12-28
3,CREV,Carbon Revolution Public Limited Ordinary Shares,XNAS,Consumer Discretionary,Consumer Cyclical,0.5788874469858476,0.09288744698584764,0.09999999999999998,0.25,0.0,0.136,1.0,0.33174088209231295,0.3999999999999999,1.0,SHORT,2.5299999713897705,2025-12-26 05:00:00,2025-12-28
4,ECDA,"ECD Automotive Design, Inc. Common Stock",XNAS,Consumer Discretionary,MOTOR VEHICLES & PASSENGER CAR BODIES,0.5707568132240667,0.18475681322406665,0.0,0.25,0.0,0.136,0.9153668760343808,0.6598457615145237,0.0,1.0,LONG,1.149999976158142,2025-12-26 05:00:00,2025-12-28
5,FMFC,Kandal M Venture Limited Class A Ordinary Shares,XNAS,Consumer Discretionary,Consumer Cyclical,0.5685637290930929,0.28,0.0,0.15256372909309288,0.0,0.136,0.8122338987044184,1.0,0.0,0.5256372909309287,LONG,0.37279999256134033,2025-12-26 05:00:00,2025-12-28
6,DSY,Big Tree Cloud Holdings Limited Ordinary Shares,XNAS,Consumer Discretionary,Consumer Defensive,0.5407234068929516,0.28,0.0,0.12472340689295155,0.0,0.136,0.7724620098470737,1.0,0.0,0.24723406892951555,LONG,0.3061999976634979,2025-12-26 05:00:00,2025-12-28
7,JWEL,Jowell Global Ltd. Ordinary Shares,XNAS,Consumer Discretionary,Consumer Cyclical,0.538278782117855,0.170709451980145,0.1,0.1408107082454982,0.020846991376961096,0.10591163051525071,0.8689696887397927,0.6096766142148036,0.4,0.408107082454982,LONG,2.240000009536743,2025-12-26 05:00:00,2025-12-28
8,BYAH,"Park Ha Biological Technology Co., Ltd. Ordinary Shares",XNAS,Consumer Discretionary,Consumer Defensive,0.5313126491730262,0.28,0.0,0.136120548748489,0.0,0.1151921004245372,0.7590180702471803,1.0,0.0,0.36120548748488995,LONG,0.18299999833106995,2025-12-26 05:00:00,2025-12-28
9,VSTD,Vestand Inc. Class A Common Stock,XNAS,Consumer Discretionary,RETAIL-EATING PLACES,0.5264472905258606,0.28,0.0,0.15314963791653968,0.0,0.09329765260932084,0.8520675578940865,1.0,0.0,0.5314963791653968,LONG,0.22599999606609344,2025-12-26 05:00:00,2025-12-28
10,MB,MasterBeef Group Ordinary Shares,XNAS,Consumer Discretionary,Consumer Cyclical,0.5248652773206008,0.180386846347331,0.0,0.25,0.00963041907210438,0.08484801190116552,0.8498075390294297,0.6442387369547534,0.0,1.0,LONG,7.03000020980835,2025-12-26 05:00:00,2025-12-28
11,FAT,FAT Brands Inc. Class A Common Stock,XNAS,Consumer Discretionary,RETAIL-EATING PLACES,0.5118486618203661,0.2636723806352133,0.0,0.11217628118515285,0.0,0.136,0.7312123740290944,0.9416870736971904,0.0,0.12176281185152853,LONG,0.36550000309944153,2025-12-26 05:00:00,2025-12-28
12,DIBS,"1stdibs.com, Inc. Common Stock",XNAS,Consumer Discretionary,RETAIL-CATALOG & MAIL-ORDER HOUSES,0.5090188792020673,0.28,0.0,0.11465255388418233,0.033017380150883284,0.08134894516700167,0.7271698274315247,1.0,0.0,0.14652553884182323,SHORT,5.909999847412109,2025-12-26 05:00:00,2025-12-28
13,ZUMZ,Zumiez Inc.,XNAS,Consumer Discretionary,RETAIL-APPAREL & ACCESSORY STORES,0.504745590808664,0.20722591167025362,0.0,0.1253659083193332,0.05,0.12215377081907712,0.7210651297266628,0.7400925416794771,0.0,0.253659083193332,LONG,27.239999771118164,2025-12-26 05:00:00,2025-12-28
14,IVP,"Inspire Veterinary Partners, Inc. Class A Common Stock",XNAS,Consumer Discretionary,Consumer Cyclical,0.5042722196025151,0.23048165661918157,0.0,0.13779056298333353,0.0,0.136,0.72038888514645,0.8231487736399341,0.0,0.3779056298333352,LONG,0.04340000078082085,2025-12-26 05:00:00,2025-12-28
15,LOPE,"Grand Canyon Education, Inc",XNAS,Consumer Discretionary,SERVICES-EDUCATIONAL SERVICES,0.5040528206272233,0.18317444927209214,0.03506804335298869,0.11961080496791637,0.05,0.11619952303422607,0.7200754580388904,0.6541944616860433,0.14027217341195475,0.19610804967916368,SHORT,168.33999633789062,2025-12-26 05:00:00,2025-12-28
16,AGAE,Allied Gaming & Entertainment Inc. Common Stock,XNAS,Consumer Discretionary,SERVICES-AMUSEMENT & RECREATION SERVICES,0.49959575714606236,0.17653995855595236,0.05563521088311668,0.1314205877069933,0.0,0.136,0.7137082244943748,0.6304998519855441,0.22254084353246673,0.3142058770699329,SHORT,0.4309000074863434,2025-12-26 05:00:00,2025-12-28
17,PENN,"PENN Entertainment, Inc. Common Stock",XNAS,Consumer Discretionary,HOTELS & MOTELS,0.48998215137379514,0.13757643744488585,0.0586975109223975,0.14030491760600233,0.05,0.1034032854005095,0.6999745019625644,0.4913444194460208,0.23479004368959,0.40304917606002333,SHORT,15.100000381469727,2025-12-26 05:00:00,2025-12-28
18,FCHL,Fitness Champs Holdings Limited Common Stock,XNAS,Consumer Discretionary,Consumer Defensive,0.4811633397510375,0.14981502891842813,0.0,0.25,0.0,0.08134831083260934,0.7873761996443391,0.5350536747086718,0.0,1.0,LONG,0.29179999232292175,2025-12-26 05:00:00,2025-12-28
19,SEAT,Vivid Seats Inc. Class A Common Stock,XNAS,Consumer Discretionary,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,0.4792282487045445,0.23172904469896483,0.0,0.12907496103698635,0.0,0.11842424296859333,0.684611783863635,0.8276037310677314,0.0,0.2907496103698635,LONG,6.630000114440918,2025-12-26 05:00:00,2025-12-28
20,AQB,"AquaBounty Technologies, Inc.",XNAS,Consumer Discretionary,Consumer Defensive,0.47761772619749987,0.12334887453229568,0.017779418284501303,0.25,0.0,0.08648943338070292,0.7823110374249997,0.4405316947581988,0.07111767313800521,1.0,SHORT,1.0199999809265137,2025-12-26 05:00:00,2025-12-28
21,PAVS,Paranovus Entertainment Technology Ltd. Class A Ordinary Shares,XNAS,Consumer Discretionary,Consumer Defensive,0.4754065957669471,0.0894065957669471,0.0,0.25,0.0,0.136,0.7791522796670672,0.3193092705962396,0.0,1.0,LONG,2.1700000762939453,2025-12-26 05:00:00,2025-12-28
22,WILC,G Willi-Food International Ltd,XNAS,Consumer Discretionary,Consumer Defensive,0.4730409806843254,0.15778769595831982,0.0,0.1955378757985219,0.05,0.06971540892748365,0.8757728295490361,0.5635274855654279,0.0,0.9553787579852187,SHORT,29.31999969482422,2025-12-26 05:00:00,2025-12-28
23,ARKR,Ark Restaurants Corp,XNAS,Consumer Discretionary,RETAIL-EATING PLACES,0.4720385360305057,0.08377174402611524,0.0,0.25,0.03818617349157549,0.10008061851281495,0.8743407657578652,0.2991848000932687,0.0,1.0,SHORT,6.369999885559082,2025-12-26 05:00:00,2025-12-28
24,CBRL,"Cracker Barrel Old Country Store, Inc,.",XNAS,Consumer Discretionary,RETAIL-EATING PLACES,0.4642805331334093,0.23719952906014943,0.0,0.13314841371196878,0.026467942269064716,0.06746464809222631,0.663257904476299,0.8471411752148194,0.0,0.3314841371196877,LONG,25.950000762939453,2025-12-26 05:00:00,2025-12-28
25,THCH,TH International Limited Ordinary shares,XNAS,Consumer Discretionary,Consumer Cyclical,0.4625344786696809,0.09009017155442071,0.0,0.25,0.026535804217476578,0.09590850289778355,0.860763540956687,0.3217506126943597,0.0,1.0,SHORT,2.190000057220459,2025-12-26 05:00:00,2025-12-28
