Sector_Rank,Ticker,Name,Exchange,Major_Sector,Detailed_Sector,Total_Score,Trend_Score,MeanReversion_Score,Volume_Score,Volatility_Score,Momentum_Score,Confidence,Trend_Strength,MeanReversion_Strength,Volume_Confirmation,Signal_Type,Current_Price,Timestamp,Analysis_Date
1,JVA,"Coffee Holding Co., Inc.",XNAS,Consumer Staples,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS,0.5313410579897737,0.07678016186681018,0.09999999999999998,0.20190331231427122,0.033156870055160347,0.11950071375353194,0.9590586542711053,0.27421486381003635,0.3999999999999999,1.0,SHORT,4.119999885559082,2025-12-26 05:00:00,2025-12-28
2,WVVI,Willamette Valley Vineyards,XNAS,Consumer Staples,BEVERAGES,0.5136420166527463,0.09147191034672295,0.05901406016018845,0.25,0.0,0.11315604614583497,0.8337743095039233,0.32668539409543906,0.2360562406407538,1.0,SHORT,3.1500000953674316,2025-12-26 05:00:00,2025-12-28
3,UG,"United-Guardian, Inc.",XNAS,Consumer Staples,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",0.4385104247665905,0.11779214388600853,0.03728477607568115,0.1790693952212187,0.05,0.05436410958368213,0.7264434639522721,0.42068622816431617,0.1491391043027246,0.790693952212187,SHORT,6.199999809265137,2025-12-26 05:00:00,2025-12-28
4,RAVE,"Rave Restaurant Group, Inc.",XNAS,Consumer Staples,WHOLESALE-GROCERIES & RELATED PRODUCTS,0.4175105209483586,0.10892461350062359,0.0,0.1857038667447405,0.019133753246283053,0.10374828745671143,0.796443601354798,0.3890164767879413,0.0,0.8570386674474048,LONG,3.2899999618530273,2025-12-26 05:00:00,2025-12-28
5,PETS,"PetMed Express, Inc.",XNAS,Consumer Staples,RETAIL-DRUG STORES AND PROPRIETARY STORES,0.4157541845491454,0.17860889776327,0.0,0.10114528678587542,0.0,0.136,0.6939345493559219,0.6378889205831071,0.0,0.011452867858754101,LONG,3.4700000286102295,2025-12-26 05:00:00,2025-12-28
6,GO,Grocery Outlet Holding Corp. Common Stock,XNAS,Consumer Staples,RETAIL-GROCERY STORES,0.4060971461366611,0.15698694578554623,0.0,0.1266881611134688,0.041757229685690136,0.08066480955195593,0.5801387801952301,0.5606676635198079,0.0,0.26688161113468817,LONG,10.270000457763672,2025-12-26 05:00:00,2025-12-28
7,NHTC,Natural Health Trends Corp.,XNAS,Consumer Staples,WHOLESALE-MISCELLANEOUS NONDURABLE GOODS,0.40090013595793167,0.14599405516131095,0.004538733740959144,0.13053392496919433,0.001430551844639416,0.11840287024182783,0.5727144799399023,0.5214073398618247,0.018154934963836578,0.30533924969194337,SHORT,3.319999933242798,2025-12-26 05:00:00,2025-12-28
8,STKL,"SunOpta, Inc.",XNAS,Consumer Staples,BEVERAGES,0.39985016585272865,0.1552575644249357,0.0,0.1271623294246271,0.043623079174732675,0.07380719282843316,0.5712145226467552,0.5544913015176275,0.0,0.2716232942462709,NEUTRAL,3.7799999713897705,2025-12-26 05:00:00,2025-12-28
9,MAMA,"Mama's Creations, Inc. Common Stock",XNAS,Consumer Staples,SAUSAGES & OTHER PREPARED MEAT PRODUCTS,0.3980651492761498,0.16471246638109005,0.0,0.12099827786946714,0.0395898981387883,0.07276450688680423,0.5686644989659282,0.588258808503893,0.0,0.20998277869467127,SHORT,13.579999923706055,2025-12-26 05:00:00,2025-12-28
10,SFM,"Sprouts Farmers Market, Inc.",XNAS,Consumer Staples,RETAIL-GROCERY STORES,0.39656346684885163,0.16479935886543942,0.0,0.12462507990603962,0.05,0.057139028077372575,0.5665192383555023,0.5885691388051407,0.0,0.24625079906039618,LONG,79.5999984741211,2025-12-26 05:00:00,2025-12-28
11,IPAR,"Interparfums, Inc. Common Stock",XNAS,Consumer Staples,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",0.39350144650507984,0.10461633702498487,0.06072027322276091,0.1297247666820743,0.05,0.048440069575259787,0.5621449235786854,0.3736297750892316,0.24288109289104365,0.2972476668207431,SHORT,85.6500015258789,2025-12-26 05:00:00,2025-12-28
12,IPST,"Heritage Distilling Holding Company, Inc. Common Stock",XNAS,Consumer Staples,BEVERAGES,0.3916631205836011,0.11605763729099891,0.0,0.13960548329260214,0.0,0.136,0.6595187436908586,0.4144915617535675,0.0,0.3960548329260215,LONG,2.0,2025-12-26 05:00:00,2025-12-28
13,BYND,"Beyond Meat, Inc. Common Stock",XNAS,Consumer Staples,FOOD AND KINDRED PRODUCTS,0.38912660051545844,0.16017675492313305,0.0,0.13563311825089322,0.0,0.09331672734143218,0.655895143593512,0.5720598390111894,0.0,0.35633118250893214,SHORT,0.8999999761581421,2025-12-26 05:00:00,2025-12-28
14,COCO,"The Vita Coco Company, Inc. Common Stock",XNAS,Consumer Staples,BEVERAGES,0.3889508298309643,0.18717038365314626,0.0,0.1124177840862034,0.05,0.03936266209161466,0.5556440426156632,0.6684656559040937,0.0,0.12417784086203398,LONG,53.560001373291016,2025-12-26 05:00:00,2025-12-28
15,HFFG,HF Foods Group Inc. Common Stock,XNAS,Consumer Staples,WHOLESALE-GROCERIES & RELATED PRODUCTS,0.38846947259136116,0.08933925076145262,0.0,0.14104345669714408,0.022086765132764453,0.136,0.6549563894162301,0.3190687527194736,0.0,0.41043456697144065,SHORT,2.25,2025-12-26 05:00:00,2025-12-28
16,RMCF,"Rocky Mountain Chocolate Factory, Inc. Common Stock",XNAS,Consumer Staples,SUGAR & CONFECTIONERY PRODUCTS,0.38510385995277346,0.0832820494019762,0.0,0.17133848220072792,0.006213333914669383,0.12426999443539993,0.6501483713611049,0.2974358907213435,0.0,0.7133848220072792,LONG,1.940000057220459,2025-12-26 05:00:00,2025-12-28
17,BRFH,Barfresh Food Group Inc. Common Stock,XNAS,Consumer Staples,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES",0.38489092099883415,0.05270041033178135,0.0,0.1961905106670528,0.0,0.136,0.7498441728554772,0.18821575118493336,0.0,0.961905106670528,SHORT,2.680000066757202,2025-12-26 05:00:00,2025-12-28
