Sector_Rank,Ticker,Name,Exchange,Major_Sector,Detailed_Sector,Total_Score,Trend_Score,MeanReversion_Score,Volume_Score,Volatility_Score,Momentum_Score,Confidence,Trend_Strength,MeanReversion_Strength,Volume_Confirmation,Signal_Type,Current_Price,Timestamp,Analysis_Date
1,ASPC,A SPAC III Acquisition Corp. Class A Ordinary Shares,XNAS,Financials,BLANK CHECKS,0.6199833811800708,0.23398338118007075,0.0,0.25,0.0,0.136,1.0,0.8356549327859669,0.0,1.0,SHORT,24.010000228881836,2025-12-26 05:00:00,2025-12-28
2,KG,"Kestrel Group, Ltd.",XNAS,Financials,"FIRE, MARINE & CASUALTY INSURANCE",0.5709493650034123,0.28,0.0,0.15494936500341228,0.0,0.136,0.8156419500048746,1.0,0.0,0.5494936500341228,LONG,10.1899995803833,2025-12-26 05:00:00,2025-12-28
3,AFJK,"Aimei Health Technology Co., Ltd Ordinary Share",XNAS,Financials,BLANK CHECKS,0.5435393830302337,0.28,0.0,0.12753938303023366,0.0,0.136,0.8764848329003339,1.0,0.0,0.2753938303023365,LONG,44.02000045776367,2025-12-26 05:00:00,2025-12-28
4,DHIL,Diamond Hill Investment Group,XNAS,Financials,INVESTMENT ADVICE,0.5281416602689438,0.22442088310384084,0.0,0.13595057903528335,0.05,0.11777019812981966,0.854488086098491,0.8015031539422887,0.0,0.3595057903528336,LONG,169.22000122070312,2025-12-26 05:00:00,2025-12-28
5,BRR,"ProCap Financial, Inc. Common Stock",XNAS,Financials,FINANCE SERVICES,0.5237533547008115,0.2750777429205566,0.0,0.11267561178025491,0.0,0.136,0.7482190781440164,0.9824205104305592,0.0,0.1267561178025491,LONG,3.0199999809265137,2025-12-26 05:00:00,2025-12-28
6,HNNA,"Hennessy Advisors, Inc.",XNAS,Financials,INVESTMENT ADVICE,0.5138362274454685,0.1611168158836113,0.0,0.25,0.05,0.05271941156185723,0.9340517534935264,0.575417199584326,0.0,1.0,SHORT,9.460000038146973,2025-12-26 05:00:00,2025-12-28
7,FDSB,"Fifth District Bancorp, Inc. Common Stock",XNAS,Financials,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",0.5080574205500494,0.21796777078843177,0.0,0.1906109396948487,0.03514304146571065,0.06433566860105827,0.9257963150714992,0.7784563242443991,0.0,0.9061093969484872,SHORT,15.020000457763672,2025-12-26 05:00:00,2025-12-28
8,LNKB,"LINKBANCORP, Inc. Common Stock",XNAS,Financials,STATE COMMERCIAL BANKS,0.5048775734488355,0.2654588016701358,0.0,0.1337359643133003,0.05,0.055682807465399484,0.7212536763554793,0.9480671488219135,0.0,0.33735964313300276,SHORT,8.34000015258789,2025-12-26 05:00:00,2025-12-28
9,RAND,Rand Capital Corp,XNAS,Financials,Financial Services,0.504038872005203,0.12905711939560938,0.0,0.23877796214567512,0.00020379046391848511,0.136,0.9200555314360044,0.46091828355574777,0.0,1.0,LONG,11.15999984741211,2025-12-26 05:00:00,2025-12-28
10,MBBC,"Marathon Bancorp, Inc. Common Stock",XNAS,Financials,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",0.5017389467083078,0.22139427163169986,0.0,0.1452933180983738,0.05,0.08505135697823404,0.816769923869011,0.7906938272560708,0.0,0.4529331809837379,LONG,12.239999771118164,2025-12-26 05:00:00,2025-12-28
11,GECC,Great Elm Capital. Corp. Common Stock,XNAS,Financials,Financial Services,0.5016933406753585,0.22798876298936832,0.0,0.12912933850199568,0.04244541807019447,0.10212982111380003,0.8167047723933692,0.8142455821048867,0.0,0.29129338501995666,SHORT,6.760000228881836,2025-12-26 05:00:00,2025-12-28
12,NRIM,Northrim BanCorp Inc,XNAS,Financials,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",0.4986611689881626,0.2073253044861275,0.0,0.16769818963924737,0.05,0.07363767486278776,0.7123730985545179,0.7404475160218839,0.0,0.6769818963924735,SHORT,27.1299991607666,2025-12-26 05:00:00,2025-12-28
13,RDAC,Rising Dragon Acquisition Corp. Ordinary Shares,XNAS,Financials,BLANK CHECKS,0.4956892234222914,0.28,0.0,0.12088663840186623,0.0,0.09480258502042513,0.7081274620318447,1.0,0.0,0.2088663840186622,LONG,10.970000267028809,2025-12-26 05:00:00,2025-12-28
14,MBINN,Merchants Bancorp Depositary Shares Preferred Series C,XNAS,Financials,STATE COMMERCIAL BANKS,0.4938163724071799,0.28,0.0,0.14863615712098183,0.05,0.015180215286198041,0.7054519605816855,1.0,0.0,0.4863615712098181,LONG,18.770000457763672,2025-12-26 05:00:00,2025-12-28
15,EBMT,"Eagle Bancorp Montana, Inc",XNAS,Financials,STATE COMMERCIAL BANKS,0.48546805295969125,0.2160970587129732,0.0,0.13823779216324664,0.05,0.08113320208347144,0.793525789942416,0.7717752096891899,0.0,0.3823779216324664,LONG,19.780000686645508,2025-12-26 05:00:00,2025-12-28
