Sector_Rank,Ticker,Name,Exchange,Major_Sector,Detailed_Sector,Total_Score,Trend_Score,MeanReversion_Score,Volume_Score,Volatility_Score,Momentum_Score,Confidence,Trend_Strength,MeanReversion_Strength,Volume_Confirmation,Signal_Type,Current_Price,Timestamp,Analysis_Date
1,UPC,Universe Pharmaceuticals Inc. Ordinary Shares,XNAS,Health Care,Healthcare,0.6170501764927188,0.13105017649271877,0.09999999999999998,0.25,0.0,0.136,1.0,0.4680363446168527,0.3999999999999999,1.0,SHORT,5.619999885559082,2025-12-26 05:00:00,2025-12-28
2,TGHL,The GrowHub Limited Class A Ordinary Shares,XNAS,Health Care,Technology,0.6094435980718731,0.22344359807187314,0.0,0.25,0.0,0.136,0.9706337115312472,0.7980128502566897,0.0,1.0,LONG,0.36500000953674316,2025-12-26 05:00:00,2025-12-28
3,IZM,ICZOOM Group Inc. Class A Ordinary Shares,XNAS,Health Care,Technology,0.607209912608726,0.221209912608726,0.0,0.25,0.0,0.136,1.0,0.7900354021740214,0.0,1.0,LONG,1.9299999475479126,2025-12-26 05:00:00,2025-12-28
4,TVRD,"Tvardi Therapeutics, Inc. Common Stock",XNAS,Health Care,PHARMACEUTICAL PREPARATIONS,0.6016598883434984,0.27715271724850105,0.0,0.25,0.0,0.07450717109499723,0.9595141262049975,0.9898311330303607,0.0,1.0,LONG,4.139999866485596,2025-12-26 05:00:00,2025-12-28
5,GLSI,"Greenwich LifeSciences, Inc.",XNAS,Health Care,PHARMACEUTICAL PREPARATIONS,0.5781784117084157,0.1814142838994928,0.0,0.25,0.010764127808922908,0.136,1.0,0.6479081567839028,0.0,1.0,SHORT,20.684999465942383,2025-12-26 05:00:00,2025-12-28
6,GAUZ,Gauzy Ltd. Ordinary Shares,XNAS,Health Care,Technology,0.5763705870026501,0.19037058700265005,0.0,0.25,0.0,0.136,0.9233865528609286,0.679894953580893,0.0,1.0,LONG,1.4700000286102295,2025-12-26 05:00:00,2025-12-28
7,IFBD,"Infobird Co., Ltd Ordinary Shares",XNAS,Health Care,Technology,0.5755073282959974,0.12125118720179325,0.09999999999999998,0.25,0.0,0.10425614109420413,1.0,0.43303995429211867,0.3999999999999999,1.0,SHORT,1.0950000286102295,2025-12-26 05:00:00,2025-12-28
8,FOLD,"Amicus Therapeutics, Inc",XNAS,Health Care,PHARMACEUTICAL PREPARATIONS,0.5752501687079741,0.2690026378123358,0.0,0.1202475308956382,0.05,0.136,0.9217859552971057,0.9607237064726277,0.0,0.20247530895638197,SHORT,14.25,2025-12-26 05:00:00,2025-12-28
9,OMER,Omeros Corporation,XNAS,Health Care,PHARMACEUTICAL PREPARATIONS,0.5585494242477305,0.19278669500447332,0.0,0.22976272924325708,0.0,0.136,0.9979277489253291,0.6885239107302618,0.0,1.0,SHORT,15.710000038146973,2025-12-26 05:00:00,2025-12-28
10,RPGL,Republic Power Group Limited Class A Ordinary Shares,XNAS,Health Care,Technology,0.5544090730902022,0.16840907309020212,0.0,0.25,0.0,0.136,0.8920129615574316,0.6014609753221504,0.0,1.0,LONG,0.26330000162124634,2025-12-26 05:00:00,2025-12-28
11,STSS,Sharps Technology Inc. Common Stock,XNAS,Health Care,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,0.5526913702891176,0.2614241929151354,0.0,0.1569257123519256,0.0,0.13434146502205668,0.7895591004130251,0.9336578318397692,0.0,0.5692571235192558,LONG,2.2200000286102295,2025-12-26 05:00:00,2025-12-28
12,MRSN,"Mersana Therapeutics, Inc. Common Stock",XNAS,Health Care,PHARMACEUTICAL PREPARATIONS,0.545738022920989,0.28,0.0,0.12256087632354018,0.05,0.0931771465974488,0.7796257470299843,1.0,0.0,0.2256087632354017,SHORT,29.075000762939453,2025-12-26 05:00:00,2025-12-28
13,CALC,"CalciMedica, Inc. Common Stock",XNAS,Health Care,PHARMACEUTICAL PREPARATIONS,0.5416534229700727,0.2000724258780389,0.0,0.2055809970920338,0.0,0.136,0.9737906042429609,0.7145443781358531,0.0,1.0,SHORT,6.230000019073486,2025-12-26 05:00:00,2025-12-28
14,LFVN,Lifevantage Corporation Common Stock (Delaware),XNAS,Health Care,PHARMACEUTICAL PREPARATIONS,0.5413790348163009,0.2584467056955157,0.0,0.20628980773908911,0.012768799074321008,0.06387372230737506,0.8733986211661441,0.9230239489125559,0.0,1.0,LONG,6.070000171661377,2025-12-26 05:00:00,2025-12-28
15,GTBP,GT Biopharma Inc. Common Stock,XNAS,Health Care,PHARMACEUTICAL PREPARATIONS,0.5404475798696187,0.25053701730769923,0.0,0.15391056256191937,0.0,0.136,0.8720679712423123,0.8947750618132115,0.0,0.5391056256191936,LONG,0.8324000239372253,2025-12-26 05:00:00,2025-12-28
16,GRI,"GRI Bio, Inc. Common Stock",XNAS,Health Care,PHARMACEUTICAL PREPARATIONS,0.5391603725973911,0.15316037259739113,0.0,0.25,0.0,0.136,0.9702291037105586,0.5470013307049683,0.0,1.0,LONG,0.2759999930858612,2025-12-26 05:00:00,2025-12-28
