Sector_Rank,Ticker,Name,Exchange,Major_Sector,Detailed_Sector,Total_Score,Trend_Score,MeanReversion_Score,Volume_Score,Volatility_Score,Momentum_Score,Confidence,Trend_Strength,MeanReversion_Strength,Volume_Confirmation,Signal_Type,Current_Price,Timestamp,Analysis_Date
1,MAGH,Magnitude International Ltd Ordinary Shares,XNAS,Industrials,Industrials,0.6311707370360362,0.2467396028093154,0.0,0.24255473364916094,0.005876400577559938,0.136,1.0,0.8812128671761263,0.0,1.0,SHORT,6.760000228881836,2025-12-04 05:00:00,2025-12-28
2,WFF,WF Holding Limited Ordinary Shares,XNAS,Industrials,Industrials,0.6200432821251528,0.13404328212515285,0.09999999999999998,0.25,0.0,0.136,1.0,0.4787260075898315,0.3999999999999999,1.0,SHORT,0.7299000024795532,2025-12-26 05:00:00,2025-12-28
3,SOPA,Society Pass Incorporated Common Stock,XNAS,Industrials,"SERVICES-BUSINESS SERVICES, NEC",0.5883952341869754,0.10239523418697537,0.09999999999999998,0.25,0.0,0.136,1.0,0.3656972649534834,0.3999999999999999,1.0,SHORT,1.8200000524520874,2025-12-26 05:00:00,2025-12-28
4,MSW,Ming Shing Group Holdings Limited Ordinary Shares,XNAS,Industrials,Industrials,0.5612554701497021,0.17525547014970205,0.0,0.25,0.0,0.136,1.0,0.6259123933917929,0.0,1.0,LONG,0.8989999890327454,2025-12-26 05:00:00,2025-12-28
5,NNBR,NN Inc,XNAS,Industrials,METALWORKG MACHINERY & EQUIPMENT,0.5609622542555237,0.11133656418183413,0.09999999999999998,0.2136256900736896,0.0,0.136,1.0,0.3976305863636933,0.3999999999999999,1.0,SHORT,1.3600000143051147,2025-12-26 05:00:00,2025-12-28
6,RITR,Reitar Logtech Holdings Limited Ordinary shares,XNAS,Industrials,Industrials,0.5548956825470656,0.28,0.0,0.1388956825470655,0.0,0.136,0.7927081179243793,1.0,0.0,0.38895682547065497,LONG,1.2999999523162842,2025-12-26 05:00:00,2025-12-28
7,UFG,Uni-Fuels Holdings Limited Class A Ordinary Shares,XNAS,Industrials,Industrials,0.5476786549803674,0.28,0.0,0.13167865498036735,0.0,0.136,0.782398078543382,1.0,0.0,0.3167865498036736,LONG,0.8127999901771545,2025-12-26 05:00:00,2025-12-28
8,HIHO,Highway Holdings Ltd,XNAS,Industrials,Industrials,0.5339225210354418,0.1661220874684969,0.09999999999999998,0.13180043356694496,0.0,0.136,0.8627464586220596,0.593293169530346,0.3999999999999999,0.3180043356694495,SHORT,1.5700000524520874,2025-12-26 05:00:00,2025-12-28
9,TAYD,Taylor Devices Inc,XNAS,Industrials,"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC",0.520316370726869,0.11385094172971408,0.0,0.24808793856922914,0.05,0.10837749042792572,0.9433091010383843,0.40661050617755023,0.0,1.0,LONG,61.36000061035156,2025-12-26 05:00:00,2025-12-28
10,GTEC,Greenland Technologies Holding Corporation Ordinary Shares,XNAS,Industrials,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,0.5188148707140487,0.13281487071404877,0.0,0.25,0.0,0.136,0.9411641010200695,0.47433882397874555,0.0,1.0,LONG,0.6991000175476074,2025-12-26 05:00:00,2025-12-28
11,MIMI,Mint Incorporation Limited Class A Ordinary Shares,XNAS,Industrials,Industrials,0.5183392189455343,0.28,0.0,0.10233921894553427,0.0,0.136,0.7404845984936202,1.0,0.0,0.023392189455342625,LONG,0.3215999901294708,2025-12-26 05:00:00,2025-12-28
12,AREB,"American Rebel Holdings, Inc. Common Stock",XNAS,Industrials,MISCELLANEOUS FABRICATED METAL PRODUCTS,0.5131616819162408,0.265601437288402,0.0,0.11156024462783878,0.0,0.136,0.7330881170232011,0.9485765617442928,0.0,0.11560244627838778,LONG,0.8543000221252441,2025-12-26 05:00:00,2025-12-28
13,USEA,United Maritime Corporation Common Stock,XNAS,Industrials,Industrials,0.5035909237104934,0.09748741548543643,0.0,0.24797095860441068,0.047200013213738436,0.11093253640690783,0.9194156053007048,0.3481693410194158,0.0,1.0,SHORT,2.1700000762939453,2025-12-26 05:00:00,2025-12-28
14,ICON,Icon Energy Corp. Common stock,XNAS,Industrials,Industrials,0.5022487999928806,0.2648834321953325,0.0,0.10136536779754818,0.0,0.136,0.7174982857041151,0.9460122578404732,0.0,0.013653677975481749,LONG,0.6991000175476074,2025-12-26 05:00:00,2025-12-28
15,CJMB,Callan JMB Inc. Common Stock,XNAS,Industrials,"SERVICES-BUSINESS SERVICES, NEC",0.5019106451238592,0.2504404249627633,0.0,0.11547022016109587,0.0,0.136,0.7170152073197987,0.894430089152726,0.0,0.1547022016109586,LONG,1.3300000429153442,2025-12-26 05:00:00,2025-12-28
16,ASTH,Astrana Health Inc. Common Stock,XNAS,Industrials,SERVICES-MANAGEMENT CONSULTING SERVICES,0.5003011271666108,0.1013621196233058,0.09999999999999998,0.12562198947126757,0.03731701807203748,0.136,0.8147158959523011,0.362007570083235,0.3999999999999999,0.2562198947126756,SHORT,25.40999984741211,2025-12-26 05:00:00,2025-12-28
17,FCUV,Focus Universal Inc. Common Stock,XNAS,Industrials,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",0.4987849199229737,0.11278491992297367,0.0,0.25,0.0,0.136,0.912549885604248,0.40280328543919164,0.0,1.0,LONG,1.1200000047683716,2025-12-26 05:00:00,2025-12-28
18,MTEN,Mingteng International Corporation Inc. Class A Ordinary Shares,XNAS,Industrials,Industrials,0.4947380877320666,0.22347947586563174,0.0,0.1352586118664349,0.0,0.136,0.7067686967600951,0.798140985234399,0.0,0.352586118664349,LONG,0.8500999808311462,2025-12-26 05:00:00,2025-12-28
19,SHMD,SCHMID Group N.V. Class A Ordinary Shares,XNAS,Industrials,Industrials,0.49350973143957905,0.1468762107149631,0.0,0.25,0.0,0.09663352072461594,0.9050139020565415,0.5245578954105824,0.0,1.0,LONG,5.860000133514404,2025-12-26 05:00:00,2025-12-28
20,XPEL,"XPEL, Inc. Common Stock",XNAS,Industrials,"COATING, ENGRAVING & ALLIED SERVICES",0.4832228976368466,0.25011053384570064,0.0,0.12921440379566823,0.05,0.05389795999547776,0.6903184251954951,0.8932519065917879,0.0,0.2921440379566823,SHORT,52.060001373291016,2025-12-26 05:00:00,2025-12-28
21,FORR,Forrester Research Inc,XNAS,Industrials,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT",0.47915713051838543,0.17422084765350931,0.0,0.16811305452631325,0.043937279498776405,0.09288594883978647,0.6845101864548363,0.6222173130482475,0.0,0.6811305452631327,SHORT,7.25,2025-12-26 05:00:00,2025-12-28
22,ROMA,Roma Green Finance Limited Ordinary Shares,XNAS,Industrials,Industrials,0.4788881343241627,0.09288813432416272,0.0,0.25,0.0,0.136,0.8841259061773752,0.3317433368720097,0.0,1.0,LONG,1.9900000095367432,2025-12-26 05:00:00,2025-12-28
23,GP,GreenPower Motor Company Inc. Common Shares,XNAS,Industrials,Industrials,0.4649477029673072,0.22310295028430188,0.0,0.10584475268300532,0.0,0.136,0.6642110042390102,0.7967962510153638,0.0,0.05844752683005319,LONG,0.8339999914169312,2025-12-26 05:00:00,2025-12-28
24,NCEW,New Century Logistics (BVI) Limited Ordinary Shares,XNAS,Industrials,Industrials,0.46342325313842464,0.21071415500967408,0.0,0.12023405988663999,0.0,0.13247503824211054,0.762033218769178,0.7525505536059788,0.0,0.20234059886639985,LONG,5.590000152587891,2025-12-26 05:00:00,2025-12-28
25,SHIM,Shimmick Corporation Common Stock,XNAS,Industrials,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,0.4628541435821874,0.10565340901356249,0.0,0.25,0.008386187552180369,0.09881454701644461,0.8612202051174105,0.377333603619866,0.0,1.0,LONG,3.190000057220459,2025-12-26 05:00:00,2025-12-28
26,SGLY,Singularity Future Technology Ltd. Common Stock,XNAS,Industrials,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,0.4621342633742893,0.09346365275142055,0.0,0.25,0.0,0.1186706106228688,0.8601918048204134,0.3337987598265019,0.0,1.0,SHORT,0.5203999876976013,2025-12-26 05:00:00,2025-12-28
