Sector_Rank,Ticker,Name,Exchange,Major_Sector,Detailed_Sector,Total_Score,Trend_Score,MeanReversion_Score,Volume_Score,Volatility_Score,Momentum_Score,Confidence,Trend_Strength,MeanReversion_Strength,Volume_Confirmation,Signal_Type,Current_Price,Timestamp,Analysis_Date
1,BTTC,Black Titan Corporation Ordinary Shares,XNAS,Other,Unknown,0.45107325619358896,0.2346186259589641,0.0,0.10431755909925468,0.0,0.11213707113537019,0.7443903659908413,0.8379236641391574,0.0,0.043175590992546684,LONG,1.7699999809265137,2025-12-26 05:00:00,2025-12-28
2,OFSSO,OFS Capital Corporation 7.50% Notes due 2028,XNAS,Other,Unknown,0.44286673513286723,0.28,0.0,0.10628838535225439,0.04632515555511037,0.010253194225502475,0.6326667644755245,1.0,0.0,0.06288385352254386,SHORT,25.850000381469727,2025-12-26 05:00:00,2025-12-28
3,NBN,Northeast Bank Common Stock,XNAS,Other,LUMBER & WOOD PRODUCTS (NO FURNITURE),0.43147341530987654,0.15298012677952116,0.0,0.13381178303090047,0.05,0.09468150549945493,0.7163905932998236,0.5463575956411469,0.0,0.33811783030900455,LONG,106.01000213623047,2025-12-26 05:00:00,2025-12-28
4,HERZ,"Herzfeld Credit Income Fund, Inc. Common Stock",XNAS,Other,Unknown,0.4054343895204508,0.09429703551100767,0.0,0.23343924882629108,0.05,0.02769810518315208,0.7791919850292155,0.33677512682502736,0.0,1.0,LONG,2.7100000381469727,2025-12-26 05:00:00,2025-12-28
5,CGABL,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,XNAS,Other,Unknown,0.38936227065278745,0.142770243566113,0.0,0.19093286146025262,0.035307728149241775,0.02035143747718002,0.7562318152182677,0.5098937270218321,0.0,0.909328614602526,LONG,17.200000762939453,2025-12-26 05:00:00,2025-12-28
6,RWAYZ,Runway Growth Finance Corp. 8.00% Notes due 2027,XNAS,Other,Unknown,0.3208305935425827,0.09150512507811376,0.04155847213222652,0.17180545466552202,0.010455607375594634,0.005505934291125729,0.4583294193465467,0.32680401813612053,0.16623388852890608,0.7180545466552202,SHORT,25.280000686645508,2025-12-26 05:00:00,2025-12-28
7,GECCH,Great Elm Capital Corp. 8.125% Notes Due 2029,XNAS,Other,Unknown,0.31671451888091234,0.0450871441045238,0.0,0.23847527109230365,0.022689017270203924,0.01046308641388092,0.5524493126870176,0.16102551465901357,0.0,1.0,LONG,25.155000686645508,2025-12-26 05:00:00,2025-12-28
8,TPGXL,"TPG Operating Group II, L.P. 6.950% Fixed-Rate Junior Subordinated Notes due 2064",XNAS,Other,Unknown,0.316198431576565,0.12788491524518436,0.0,0.14634381448897577,0.03365023592684028,0.008319465915564588,0.45171204510937857,0.4567318401613727,0.0,0.46343814488975776,LONG,24.8799991607666,2025-12-26 05:00:00,2025-12-28
9,RMSG,Real Messenger Corporation Ordinary Shares,XNAS,Other,Unknown,0.31590987188775055,0.026632604257946918,0.0,0.15327726762980365,0.0,0.136,0.5512998169825007,0.09511644377838184,0.0,0.5327726762980366,LONG,1.4199999570846558,2025-12-26 05:00:00,2025-12-28
10,OXSQH,Oxford Square Capital Corp. 7.75% Notes due 2030,XNAS,Other,Unknown,0.3157722347621888,0.08775917676847812,0.0,0.2020773252317135,0.02228188417173297,0.003653848590264176,0.5511031925174126,0.31342563131599327,0.0,1.0,NEUTRAL,25.270000457763672,2025-12-26 05:00:00,2025-12-28
11,TRINI,Trinity Capital Inc. 7.875% Notes Due 2029,XNAS,Other,Unknown,0.30552952261324073,0.16152035886690802,0.0,0.11998667767638246,0.014880149557631592,0.009142336512318645,0.5364707465903439,0.5768584245246714,0.0,0.19986677676382458,SHORT,25.3700008392334,2025-12-26 05:00:00,2025-12-28
12,TRINZ,Trinity Capital Inc. 7.875% Notes due 2029,XNAS,Other,Unknown,0.28249434524747336,0.10953475151453512,0.0,0.14893338138100085,0.011282679218238882,0.012743533133698524,0.5035633503535333,0.3911955411233397,0.0,0.4893338138100084,SHORT,25.191099166870117,2025-12-26 05:00:00,2025-12-28
13,NMFCZ,New Mountain Finance Corporation 8.250% Notes due 2028,XNAS,Other,Unknown,0.2729983695576098,0.09847705626009903,0.0,0.15268852104295144,0.012729119045518659,0.009103673209040717,0.4899976707965854,0.3517037723574965,0.0,0.5268852104295142,LONG,25.479999542236328,2025-12-26 05:00:00,2025-12-28
14,OXLCZ,Oxford Lane Capital Corp. 5.00% Notes due 2027,XNAS,Other,Unknown,0.2699282303024754,0.098697376725854,0.0,0.15689761141507388,0.008921716000142172,0.005411526161405352,0.38561175757496485,0.3524906311637643,0.0,0.5689761141507388,NEUTRAL,24.354900360107422,2025-12-26 05:00:00,2025-12-28
15,NMRK,"Newmark Group, Inc. Class A Common Stock",XNAS,Other,FOREIGN GOVERNMENTS,0.2652284091592415,0.08002883776643598,0.0,0.11573271627590645,0.05,0.019466855116899103,0.47889772737034497,0.28581727773727134,0.0,0.1573271627590644,LONG,17.649999618530273,2025-12-26 05:00:00,2025-12-28
16,PFXNZ,PhenixFIN Corporation 5.25% Notes due 2028,XNAS,Other,Unknown,0.25972423490378643,0.08452468947585223,0.04264861647643631,0.10570578878207346,0.013445807867681998,0.013399332301742423,0.37103462129112347,0.3018738909851865,0.17059446590574523,0.057057887820734496,SHORT,23.655000686645508,2025-12-26 05:00:00,2025-12-28
17,MKDW,MKDWELL Tech Inc. Ordinary Share,XNAS,Other,Unknown,0.24257660573777026,0.06095101816447144,0.0,0.10070542205547713,0.00902203586616721,0.0718981296516545,0.44653800819681466,0.21768220773025512,0.0,0.007054220554771183,SHORT,0.1876000016927719,2025-12-26 05:00:00,2025-12-28
18,GECCO,Great Elm Capital Corp. 5.875% Notes due 2026,XNAS,Other,Unknown,0.24202994314072118,0.11204167254209502,0.0,0.10109612950625543,0.012756730678835912,0.016135410413534824,0.4457570616296017,0.4001488305074822,0.0,0.010961295062554296,SHORT,25.0,2025-12-26 05:00:00,2025-12-28
